OD(m),t(m),currentTop,currentBottom,toptension,depth(m),coverage,buoyThick,log(OMFD),MAPE
0.540609564,0.017122919,2.6571883,0.328913203,8060.919916,1268.692848,0.5,0.330147465,1.822821645,16.07819759
0.230972052,0.013312835,1.014842806,0.083114343,3093.137875,1481.751868,0.5,0.330147465,-0.557520231,11.62319985
0.182466902,0.007803797,2.463188478,0.346490152,3391.479952,1092.942805,0.5,0.330147465,1.629409599,40.53916039
0.342605261,0.015503333,1.74008638,0.321485691,2832.977502,1178.892394,0.5,0.330147465,1.403120521,41.52961103
0.297250611,0.008752255,1.456392567,0.109046235,3104.560362,1090.434274,0.5,0.330147465,0.666517981,0.668822794
0.271667774,0.014486865,2.709633841,0.392558409,1739.906251,1166.868847,0.5,0.330147465,2.761927838,8.533443569
0.510936799,0.016994803,1.598568654,0.019311937,5581.868749,686.2311288,0.5,0.330147465,0.771587481,36.48409122
0.346368646,0.010449932,2.46400076,0.115141332,5906.598785,1280.207682,0.5,0.330147465,1.587710965,20.50017127
0.468984549,0.007043183,2.265358325,0.318305533,3506.129655,1015.733531,0.5,0.330147465,2.178976947,40.97053588
0.570265169,0.011545531,2.599892156,0.163379058,4710.855646,1197.733439,0.5,0.330147465,2.40654018,10.2989168
0.272663129,0.008784415,2.344851365,0.106767473,3812.961579,687.9776395,0.5,0.330147465,1.629409599,9.738271987
0.430671594,0.010974783,2.258098869,0.358403257,2331.882447,596.8086947,0.5,0.330147465,2.318063335,38.01140417
0.277224948,0.007802425,1.779220765,0.152248128,3713.343461,1414.393278,0.5,0.330147465,0.996073654,0.411717355
0.206332792,0.012493616,0.856492744,0.001284721,903.7125111,907.6925302,0.5,0.330147465,0.198657087,6.195339663
0.46742546,0.009032185,2.710226808,0.227305186,2024.081946,861.9301573,0.5,0.330147465,2.932473765,23.45040571
0.57499704,0.016552959,2.438158295,0.210917113,6442.083643,1191.979192,0.5,0.330147465,1.924795996,20.14042036
0.603689271,0.01051301,1.18518065,0.179884936,7236.216732,1147.143058,0.5,0.330147465,0.008600172,15.64469799
0.196894399,0.01213944,2.207750146,0.152403001,2433.201794,1461.631924,0.5,0.330147465,1.954242509,0.078302918
0.248457613,0.01738171,2.103737852,0.008858695,4185.01111,766.0495216,0.5,0.330147465,1.136720567,11.62538177
0.265959308,0.008265112,2.177161904,0.285037214,2198.307691,1117.915386,0.5,0.330147465,2.103803721,11.42203262
0.552425933,0.015296152,0.575810312,0.051163721,6257.763621,1256.984487,0.5,0.330147465,-1.756961951,9.154986405
0.410332458,0.009495384,2.490822037,0.259644245,3429.910547,1120.114949,0.5,0.330147465,2.344392274,4.290916547
0.23934895,0.011519265,2.493136907,0.060530735,2685.688435,1468.98034,0.5,0.330147465,2.311753861,18.14272251
0.617349892,0.010072111,2.280886887,0.057130767,6490.737849,1176.983113,0.5,0.330147465,1.828659897,23.54832079
0.428734272,0.007175842,2.272948278,0.489727498,4014.664203,1145.986539,0.5,0.330147465,2.017033339,29.3163007
0.424377602,0.017647466,1.942826391,0.033773204,2010.281322,949.4869131,0.5,0.330147465,1.975891136,41.22204461
0.269418722,0.009000584,1.956699855,0.451000433,3270.228547,571.5573773,0.5,0.330147465,1.303196057,12.37165358
0.33834794,0.017549488,0.211416822,0.014140057,3262.34057,1431.546381,0.5,0.330147465,-4.568636236,18.76410163
0.474585514,0.018192255,1.497249555,0.051389907,8412.415692,1326.794787,0.5,0.330147465,0.120573931,23.48016208
0.390264351,0.009278619,2.501048861,0.309256382,4010.349288,880.1574432,0.5,0.330147465,2.096910013,5.381945803
0.363250102,0.009219425,1.662844411,0.028935465,762.2243105,533.1758791,0.5,0.330147465,2.176091259,46.21468101
0.324193316,0.012501217,0.379097293,0.516576476,4102.122251,670.3421309,0.5,0.330147465,-2.511449283,28.067301
0.421897768,0.016665538,2.210255115,0.319965309,3962.941972,1107.398578,0.5,0.330147465,1.762678564,46.60832951
0.4432786,0.014507812,2.685597018,0.149348639,2533.242253,1346.808991,0.5,0.330147465,2.671172843,18.35699338
0.40670321,0.009917626,1.425696786,0.138355833,3765.752254,1463.330896,0.5,0.330147465,0.840733235,18.94801296
0.390813661,0.018585548,2.564960025,0.471259034,3588.91964,1255.341972,0.5,0.330147465,2.227886705,25.84444294
0.217449086,0.010327211,2.331909066,0.090649637,4535.244643,1269.709105,0.5,0.330147465,1.278753601,6.666514758
0.650032442,0.009607243,1.737917523,0.153586339,6351.093893,1080.770341,0.5,0.330147465,1.283301229,31.28828993
